SRR13775064, SRR13786986, SRR13786965, SRR13786966, SRR13786982, SRR13786964, SRR13786993, SRR13786940, SRR13786969, SRR13786967
ERR4336903, SRR13786944, SRR13786953, SRR13786992, SRR13786976, SRR13786957, SRR13786962, SRR13786972, SRR13786945, SRR13786968
SRR13786948, SRR13786956, SRR13786942, SRR13786975, SRR13786959, ERR4336897, SRR13786941, SRR13786988, SRR13786970, SRR13786985
SRR13786952, SRR13786981, SRR13786950, SRR13786979, SRR13786955, SRR13786963, SRR13786958, SRR13786943, SRR13786954, SRR13786951
SRR13786974, SRR13786971, ERR4336896, SRR13786990, SRR13786977, SRR13786991, SRR13786947, SRR13786946, ERR4336881, SRR13786995
SRR13786973, SRR13786949, SRR13786978, SRR13786987, SRR13786994, SRR13786960, SRR13786961, SRR13786980, SRR13786989, SRR13786983
SRR13786984, ERR4336927, ERR4336924, ERR4336912, ERR4056958, ERR4056961, ERR875320, ERR875316, ERR875318, ERR875325
ERR875326, ERR875327, ERR875322, ERR875323, ERR875307, ERR875306, ERR875305, SRR7287117, ERR875324, ERR875321
ERR875314, ERR875319, ERR875312, ERR875313, ERR875315, ERR875311, ERR875308, ERR875309, ERR875310, ERR875317
SRR6350046, SRR6350062, SRR7288018, SRR6350064, SRR6350063, SRR6350065, SRR6350040, SRR6350037, SRR6350038, SRR6350045
SRR6347656, SRR6350041, SRR6350061, SRR6350017, SRR6350027, ERR2509672, SRR6350018, SRR1521088, ERR4083909, SRR7293098
ERR4083892, ERR4083682, SRR1521087, SRR1521089, SRR6350060, ERR4083709
